feature,coefficient
GenHlth,0.6208184680784516
BMI,0.5245660052687705
Age,0.4198954256978507
HighBP,0.35513735002114977
HighChol,0.28860964048027277
CholCheck,0.21497540236557258
Sex,0.12773360421420654
HeartDiseaseorAttack,0.09647079777658588
DiffWalk,0.059005987985199744
Stroke,0.03877409981554804
AnyHealthcare,0.014970216807518198
NoDocbcCost,0.008932892385335806
Smoker,-0.007243634867979663
PhysActivity,-0.009883379442883767
Fruits,-0.010664779454495277
Veggies,-0.033218813583637256
MentHlth,-0.03382921278053413
Education,-0.04598530590069742
PhysHlth,-0.07650302041603321
Income,-0.11825545590558585
HvyAlcoholConsump,-0.15007303465878977
