feature,importance
GenHlth,0.22564859109438654
HighBP,0.20104572251554667
BMI,0.13761211454708275
Age,0.10144816315247131
HighChol,0.0956570491422317
DiffWalk,0.05016569782690544
Income,0.03264178471385632
PhysHlth,0.030427856778644576
HeartDiseaseorAttack,0.029927839253220578
Education,0.015975998193344554
MentHlth,0.013446144665005644
CholCheck,0.01066384336625656
HvyAlcoholConsump,0.00987324344866244
PhysActivity,0.009639056430029762
Sex,0.008543234574388972
Stroke,0.006736825963681871
Smoker,0.004827441237628678
Veggies,0.004566094753233816
Fruits,0.0041485006971826175
NoDocbcCost,0.0036799836613161745
AnyHealthcare,0.0033248139849232396
