feature,importance_mean,importance_std
GenHlth,0.041040631638025585,0.0011498437992477988
BMI,0.029718347418950984,0.0011642231115545757
HighBP,0.024349460904231145,0.0005205711936810334
Age,0.017857932199436856,0.0007422281277299823
HighChol,0.012474978942882253,0.0005925569530424471
HeartDiseaseorAttack,0.004141013266822935,0.0005002644930059598
HvyAlcoholConsump,0.0022991111127888876,0.00023273273212160177
CholCheck,0.0020858280984163424,0.00035160829812695585
Income,0.0018758997513413367,0.0003862603724498307
DiffWalk,0.0017785367987810607,0.000553671380558896
Sex,0.0012450471729769873,0.0002119013689118134
Stroke,0.00045285701462076665,0.00018480197245423146
MentHlth,0.00028935499783550034,0.00014125892875603818
Smoker,0.00021972284302956835,4.760787976552622e-05
Education,0.00020331548931358246,0.00012408913199868422
PhysActivity,7.526346564913355e-05,8.812272415260342e-05
NoDocbcCost,5.463210447008704e-05,4.9192838584905895e-05
Fruits,3.204394142253264e-05,5.211675543661201e-05
AnyHealthcare,2.563871858618505e-05,4.835343087994062e-05
Veggies,-9.071548897819915e-05,6.708919825107465e-05
PhysHlth,-0.00011976340524640915,0.0001959013634371867
